0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
45,AI_1,0,AI_2,1,1,TIE,N/A,N/A
46,AI_1,1,AI_2,1,1,TIE,N/A,N/A
47,AI_1,1,AI_2,1,1,TIE,N/A,N/A
48,AI_1,1,AI_2,1,1,TIE,N/A,N/A
49,AI_1,0,AI_2,0,0,AI_1,0,X
50,AI_1,0,AI_2,2,1,AI_2,2,O
51,AI_1,2,AI_2,0,0,AI_1,2,X
52,AI_1,2,AI_2,2,0,TIE,N/A,N/A
53,AI_1,2,AI_2,1,1,AI_1,2,X
54,AI_1,2,AI_2,1,0,TIE,N/A,N/A
55,AI_1,0,AI_2,1,0,TIE,N/A,N/A
56,AI_1,1,AI_2,1,1,TIE,N/A,N/A
57,AI_1,0,AI_2,0,0,AI_1,0,X
58,AI_1,2,AI_2,1,1,AI_1,2,X
59,AI_1,1,AI_2,0,1,AI_2,0,O
60,AI_1,2,AI_2,2,1,AI_2,2,O
61,AI_1,2,AI_2,2,0,TIE,N/A,N/A
62,AI_1,1,AI_2,1,1,TIE,N/A,N/A
63,AI_1,1,AI_2,2,1,AI_2,2,O
64,AI_1,1,AI_2,0,0,AI_2,0,O
65,AI_1,2,AI_2,1,1,AI_1,2,X
66,AI_1,2,AI_2,1,0,TIE,N/A,N/A
67,AI_1,0,AI_2,2,0,TIE,N/A,N/A
68,AI_1,0,AI_2,2,0,TIE,N/A,N/A
69,AI_1,1,AI_2,0,0,AI_2,0,O
70,AI_1,1,AI_2,2,0,TIE,N/A,N/A
71,AI_1,0,AI_2,2,1,AI_2,2,O
72,AI_1,1,AI_2,1,1,TIE,N/A,N/A
73,AI_1,2,AI_2,0,0,AI_1,2,X
74,AI_1,1,AI_2,1,1,TIE,N/A,N/A
75,AI_1,1,AI_2,2,1,AI_2,2,O
76,AI_1,0,AI_2,0,1,TIE,N/A,N/A
77,AI_1,2,AI_2,2,1,AI_2,2,O
78,AI_1,2,AI_2,2,1,AI_2,2,O
79,AI_1,2,AI_2,1,1,AI_1,2,X
80,AI_1,0,AI_2,1,1,TIE,N/A,N/A
81,AI_1,1,AI_2,1,1,AI_1,1,X
82,AI_1,0,AI_2,1,0,TIE,N/A,N/A
